"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Joe Burrow","CIN","QB","14777","weighted",4639.0155698599,165.776828631437,37.8174024990534,3.50885411465942,10.3639303294207,1.42468125292227,188.320742143128,20.0514213117088,2.04350624763347,0.692278795333508,3.77276599772813,0.363529492202325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4201.55987126089,244.999847821757,27.8291480499811,2.38471946677416,12.281325255585,0.928228365344802,275.635675880348,24.5630820247293,3.25059447179099,0.745009438157529,2.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",4074.22267322984,354.020743587525,26.6354032563423,2.77063786340806,11.2462779250284,1.09591788302856,89.034964028777,28.0930337422404,0.654956455887921,0.4479197923575,3.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4376.5869897766,120.121753837734,31.6284361984097,4.19960723710653,11.7290193108671,1.03923241017722,75.0191897008709,49.0234399000769,0.581696327148807,0.508567077389746,2.55929572131768,0.275597520032662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",4041.68724725483,198.49436050514,25.4897765997728,2.9496483767442,10.7806436955699,0.530070465603524,251.172570995835,58.0817997038499,1.94275653161681,1.14606210180748,3.5339076107535,0.270795495873747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-03,2023,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",3988.29497160167,252.082521825601,26.1658159787959,2.5705272094566,10.0289814464218,1.97186464967967,73.5908292313518,59.6652022858951,0.594895872775464,0.662970510452412,1.99392275653162,0.120335217661344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-07,2009,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",4199.40080272624,127.784195898013,33.4890496024233,3.09331813936587,14.5640212040894,1.65369303207938,284.214911018554,36.3847943115932,2.34767890950398,0.464083471709986,3.61512684589171,0.281716432603377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4200.25159409315,174.141188045303,28.5585611510791,2.78567549937089,12.0965240439228,1.48591342151226,171.888186293071,30.4992061928247,1.75519121544869,0.408652508759315,2.46316736084816,0.307279274632514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-29,2016,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4184.00791366906,239.366740817844,31.4806967057933,2.7490141823742,11.8051722832261,0.650244488259147,356.54570238546,48.9763841760842,2.50393032942067,0.691967882145355,2.04975388110564,0.0754446923489083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Joe Flacco","CLE","QB","9064","weighted",2474.09457781144,1075.86514787875,14.9405073835668,8.29584337162826,11.2267247254828,6.34223176781024,46.1754032563423,48.8134185335867,0.417697841726619,0.470493021581713,4.28812003029156,0.825151162937699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-16,2008,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",3965.27117001136,267.067633111262,24.8251950018932,2.48217697083645,12.6693222264294,0.884601570655199,249.787875804619,17.6593163082307,3.22598258235517,0.762436916285946,3.90387163953048,0.126837767301143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Geno Smith","LVR","QB","11150","weighted",3918.10982961,307.105545341324,23.3239454751988,3.47510198617148,12.8963422945854,1.81940970645486,235.159651647103,30.6228559984534,1.69609996213555,0.461173101573668,2.00692919348732,0.566732526204098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",3901.01479742522,189.66410365719,29.6939265429761,2.20225135652574,10.1891253313139,1.88987392103081,570.100757288906,48.7490630167787,11.3662627792503,1.19164644633005,2.58757099583491,0.538329836361561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-05-21,2018,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",3767.16003029156,256.648321483548,26.0875047330557,4.50650644174411,9.92755774327906,1.36996893041914,479.53011737978,58.2743122404882,2.29979553199546,1.10503603990933,4.78199545626657,0.409821010528546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-18,2024,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3935.89248769406,171.532553050169,26.4989246497539,2.38811034979198,7.91373722074972,1.77145299913284,281.701567588035,29.2468456897826,2.70906474820144,0.575341409490893,2.10558500567967,0.0682337157461454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3867.8777887164,184.434021892292,33.7127830367285,3.31931477887401,7.85724346838319,1.53777601697935,844.643725861416,60.2454998984718,3.84958727754638,0.712550701686056,4.69824876940553,0.345071706931211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-07,2018,"Q","Foot",2025,0
"Michael Penix Jr.","ATL","QB","16583","weighted",3887.03235895494,209.511999507022,24.4325558500568,2.5477832354331,13.5786141613025,2.14048411745887,176.919310867096,74.2860432085674,2.20973873532753,0.707870643306839,2.60589738735328,0.286019349942876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-08,2024,NA,NA,NA,NA
"J.J. McCarthy","MIN","QB","16584","weighted",3965.22773949262,181.599296725519,28.2288224157516,2.49862355112105,13.7327451722832,1.79973854004915,269.046202196138,54.6107912678059,2.0405831124574,0.873946435056821,3.74485043544112,0.343670968542477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-01-20,2024,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",3821.44766376373,156.67387353389,27.6745399469898,2.72091876026423,10.3210299129118,1.33696369922682,795.401453994699,111.66311086339,6.05628171147293,1.26796774524579,1.56950965543355,0.783215959340901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-18,2024,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",3806.40697463082,173.192891468173,25.2681938659599,4.19586351436775,11.1195229079894,0.866594717071243,550.507459295721,32.451339267547,4.82607345702386,0.669233513561808,3.38194812570996,0.334529480988077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",3859.42112836047,204.534352285459,28.2593032942067,2.07516637121456,11.8663839454752,1.12482571376255,162.166270352139,36.5374373060341,1.88990533888679,0.422697755058215,1.9044964028777,0.576601827663817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
