player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate,draft_year,injury_status,injury_details,season_year,week
Joe Burrow,CIN,QB,14777,weighted,4651.160545,183.5546315,37.76232488,3.609850003,10.39684968,1.455394386,188.3243998,20.04856938,2.044725483,0.691897723,3.772765998,0.363529492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/70,2020,NA,NA,NA,NA
Brock Purdy,SF,QB,15698,weighted,4211.470594,248.8712132,27.87791746,2.423847926,12.3142446,0.941408214,276.528156,23.84131767,3.257909883,0.735807499,2.620806513,0.27898283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/27/99,2022,NA,NA,NA,NA
Tua Tagovailoa,MIA,QB,14778,weighted,4077.423627,356.45226,26.64234002,2.72061925,11.27432033,1.130910862,88.914805,27.82076825,0.652517986,0.447569314,3.620806513,0.27898283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/70,2020,NA,NA,NA,NA
Jared Goff,DET,QB,12611,weighted,4380.035842,122.9976038,31.86598258,4.286569038,11.73999243,1.030506074,74.98992806,49.0235659,0.582915562,0.509259533,2.559295721,0.27559752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/14/94,2016,NA,NA,NA,NA
Matthew Stafford,LAR,QB,9431,weighted,3998.386861,263.8831982,26.20705793,2.411821951,9.936524044,2.2037456,73.55547141,59.59427874,0.602211284,0.677841113,1.993922757,0.120335218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/7/88,2009,NA,NA,NA,NA
Baker Mayfield,TB,QB,13590,weighted,4192.37114,121.2527506,33.40512685,3.006640806,14.56280197,1.653885642,283.7583112,35.8371915,2.351336615,0.467008566,3.615126846,0.281716433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/14/95,2018,NA,NA,NA,NA
Joe Flacco,CLE,QB,9064,weighted,2434.617062,1080.574133,14.71616055,8.274278637,10.87658463,6.267560918,46.04922378,48.877502,0.416478607,0.470054397,4.28812003,0.825151163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/16/85,2008,NA,NA,NA,NA
Dak Prescott,DAL,QB,12620,weighted,4196.47847,174.6663323,28.60123438,2.702521912,12.12822416,1.485367355,172.0444604,30.66316475,1.752752745,0.407859824,2.463167361,0.307279275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/29/93,2016,NA,NA,NA,NA
C.J. Stroud,HOU,QB,16150,weighted,4038.084248,166.8669853,25.43226051,3.008843698,10.80990534,0.552620306,251.0394623,58.0864836,1.941537296,1.144097839,3.533907611,0.270795496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/3/01,2023,NA,NA,NA,NA
Patrick Mahomes,KC,QB,13116,weighted,4191.367883,244.0889066,31.456312,2.763267872,11.82833775,0.670635274,357.5137751,51.61903499,2.502711094,0.689278832,2.049753881,0.075444692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
