id,name,team,position,byeWeek,injuryStatus,points,adp
1,Lamar Jackson,BAL,QB,14,NA,430.4,1
2,Ja'Marr Chase,CIN,WR,12,NA,403.0,2
3,Josh Allen,BUF,QB,12,NA,379.0,3
4,Joe Burrow,CIN,QB,12,NA,372.8,4
5,Baker Mayfield,TB,QB,11,NA,365.8,5
6,Jahmyr Gibbs,DET,RB,5,NA,362.9,6
7,Jayden Daniels,WAS,QB,14,NA,355.8,7
8,Saquon Barkley,PHI,RB,5,NA,355.3,8
9,Bijan Robinson,ATL,RB,12,NA,341.7,9
10,Derrick Henry,BAL,RB,14,NA,336.4,10
11,Jared Goff,DET,QB,5,NA,324.5,11
12,Justin Jefferson,MIN,WR,6,NA,317.5,12
13,Bo Nix,DEN,QB,14,NA,317.2,13
14,Amon-Ra St. Brown,DET,WR,5,NA,316.2,14
15,Jalen Hurts,PHI,QB,5,NA,315.1,15
16,Sam Darnold,MIN,QB,6,NA,308.0,16
17,De'Von Achane,MIA,RB,6,NA,299.9,17
18,Kyler Murray,ARI,QB,11,NA,297.2,18
19,Josh Jacobs,GB,RB,10,NA,293.1,19
20,Justin Herbert,LAC,QB,5,NA,285.4,20
21,Brian Thomas,JAX,WR,12,NA,284.0,21
22,Patrick Mahomes,KC,QB,6,NA,283.0,22
23,Drake London,ATL,WR,12,NA,280.8,23
24,Malik Nabers,NYG,WR,11,NA,273.6,24
25,Kyren Williams,LAR,RB,6,NA,272.1,25
26,Terry McLaurin,WAS,WR,14,NA,267.8,26
27,Brock Purdy,SF,QB,9,NA,266.9,27
28,James Cook,BUF,RB,12,NA,266.7,28
29,Geno Smith,SEA,QB,10,NA,266.0,29
30,Alvin Kamara,NO,RB,12,NA,265.3,30
31,CeeDee Lamb,DAL,WR,7,NA,263.4,31
32,Brock Bowers,LV,TE,10,NA,262.7,32
33,Aaron Rodgers,NYJ,QB,12,NA,256.6,33
34,Chase Brown,CIN,RB,12,NA,255.0,34
35,Caleb Williams,CHI,QB,7,NA,254.5,35
36,James Conner,ARI,RB,11,NA,253.8,36
37,Jaxon Smith-Njigba,SEA,WR,10,NA,253.0,37
38,Garrett Wilson,NYJ,WR,12,NA,251.9,38
39,Trey McBride,ARI,TE,11,NA,249.8,39
40,Jonathan Taylor,IND,RB,14,NA,244.7,40
41,Bucky Irving,TB,RB,11,NA,244.4,41
42,Chuba Hubbard,CAR,RB,11,NA,241.6,42
43,Aaron Jones,MIN,RB,6,NA,241.6,43
44,Ladd McConkey,LAC,WR,5,NA,240.9,44
45,Breece Hall,NYJ,RB,12,NA,240.9,45
46,Jerry Jeudy,CLE,WR,10,NA,240.9,46
47,Joe Mixon,HOU,RB,14,NA,240.5,47
48,Mike Evans,TB,WR,11,NA,240.4,48
49,Courtland Sutton,DEN,WR,14,NA,240.3,49
50,D.J. Moore,CHI,WR,7,NA,238.1,50
51,George Kittle,SF,TE,9,NA,236.6,51
52,Jordan Love,GB,QB,10,NA,233.9,52
53,Jonnu Smith,MIA,TE,6,NA,222.3,53
54,Tee Higgins,CIN,WR,12,NA,222.1,54
55,David Montgomery,DET,RB,5,NA,221.7,55
56,C.J. Stroud,HOU,QB,14,NA,220.4,56
57,Tyreek Hill,MIA,WR,6,NA,218.2,57
58,Jakobi Meyers,LV,WR,10,NA,218.0,58
59,A.J. Brown,PHI,WR,5,NA,216.9,59
60,Matthew Stafford,LAR,QB,6,NA,214.6,60
61,D'Andre Swift,CHI,RB,7,NA,214.5,61
62,Jordan Addison,MIN,WR,6,NA,212.5,62
63,Jameson Williams,DET,WR,5,NA,212.2,63
64,Nico Collins,HOU,WR,14,NA,210.6,64
65,Jauan Jennings,SF,WR,9,NA,210.5,65
66,Zay Flowers,BAL,WR,14,NA,209.5,66
67,Puka Nacua,LAR,WR,6,NA,206.6,67
68,Najee Harris,PIT,RB,9,NA,204.6,68
69,Tony Pollard,TEN,RB,5,NA,200.7,69
70,Rachaad White,TB,RB,11,NA,199.6,70
71,DeVonta Smith,PHI,WR,5,NA,199.4,71
72,Calvin Ridley,TEN,WR,5,NA,199.2,72
73,Rico Dowdle,DAL,RB,7,NA,197.8,73
74,Jayden Reed,GB,WR,10,NA,197.0,74
75,Marvin Harrison Jr.,ARI,WR,11,NA,196.5,75
76,Travis Kelce,KC,TE,6,NA,195.4,76
77,Bryce Young,CAR,QB,11,NA,195.0,77
78,Darnell Mooney,ATL,WR,12,NA,193.2,78
79,Brandon Aubrey,DAL,K,7,NA,192.0,79
80,J.K. Dobbins,LAC,RB,5,NA,191.8,80
81,D.K. Metcalf,SEA,WR,10,NA,191.2,81
82,Chris Boswell,PIT,K,9,NA,191.0,82
83,Mark Andrews,BAL,TE,14,NA,188.8,83
84,Xavier Worthy,KC,WR,6,NA,187.2,84
85,Zach Charbonnet,SEA,RB,10,NA,186.9,85
86,Keenan Allen,CHI,WR,7,NA,184.4,86
87,Josh Downs,IND,WR,14,NA,183.5,87
88,Wan'Dale Robinson,NYG,WR,11,NA,182.7,88
89,Khalil Shakir,BUF,WR,12,NA,182.5,89
90,Tyrone Tracy Jr.,NYG,RB,11,NA,182.3,90
91,Tua Tagovailoa,MIA,QB,6,NA,181.6,91
92,Kenneth Walker III,SEA,RB,10,NA,181.2,92
93,Cameron Dicker,LAC,K,5,NA,179.0,93
94,Denver Broncos DST,DEN,DST,14,NA,179.0,94
